timestamp,event_type,agent_id,data
2026-06-12T00:52:22.303792,message_received,AgenteCentral@0.0.0.0:5678,"{'message_id': 'f8a36138-65f8-11f1-a18a-f247f004a27b', 'conversation_id': 'f259b2e6-65f8-11f1-a18a-f247f004a27b', 'performative': 'subscribe', 'sender': ''}"
2026-06-12T00:52:22.507950,message_received,AgenteCentral@0.0.0.0:5678,"{'message_id': '', 'conversation_id': '', 'performative': '', 'sender': ''}"
2026-06-12T01:01:22.492251,message_received,AgenteCentral@0.0.0.0:5678,"{'message_id': '3a9b9c12-65fa-11f1-a1d5-d2c51fa485f2', 'conversation_id': '34722dec-65fa-11f1-a1d5-d2c51fa485f2', 'performative': 'subscribe', 'sender': ''}"
2026-06-12T01:01:22.494698,message_received,AgenteCentral@0.0.0.0:5678,"{'message_id': '3a9f5438-65fa-11f1-a1d5-d2c51fa485f2', 'conversation_id': '34720f56-65fa-11f1-a1d5-d2c51fa485f2', 'performative': 'subscribe', 'sender': ''}"
2026-06-12T01:01:22.495115,message_received,AgenteCentral@0.0.0.0:5678,"{'message_id': '3a9f655e-65fa-11f1-a1d5-d2c51fa485f2', 'conversation_id': '34722a5e-65fa-11f1-a1d5-d2c51fa485f2', 'performative': 'subscribe', 'sender': ''}"
2026-06-12T01:01:22.495508,message_received,AgenteCentral@0.0.0.0:5678,"{'message_id': '3a9f75b2-65fa-11f1-a1d5-d2c51fa485f2', 'conversation_id': '3471e8aa-65fa-11f1-a1d5-d2c51fa485f2', 'performative': 'subscribe', 'sender': ''}"
2026-06-12T01:01:22.495827,message_received,AgenteCentral@0.0.0.0:5678,"{'message_id': '3a9f823c-65fa-11f1-a1d5-d2c51fa485f2', 'conversation_id': '3471f912-65fa-11f1-a1d5-d2c51fa485f2', 'performative': 'subscribe', 'sender': ''}"
2026-06-12T01:01:22.496147,message_received,AgenteCentral@0.0.0.0:5678,"{'message_id': '3a9f8dcc-65fa-11f1-a1d5-d2c51fa485f2', 'conversation_id': '34726d02-65fa-11f1-a1d5-d2c51fa485f2', 'performative': 'subscribe', 'sender': ''}"
2026-06-12T01:01:22.496439,message_received,AgenteCentral@0.0.0.0:5678,"{'message_id': '3a9f9a38-65fa-11f1-a1d5-d2c51fa485f2', 'conversation_id': '34725416-65fa-11f1-a1d5-d2c51fa485f2', 'performative': 'subscribe', 'sender': ''}"
2026-06-12T01:01:22.496720,message_received,AgenteCentral@0.0.0.0:5678,"{'message_id': '3a9fa55a-65fa-11f1-a1d5-d2c51fa485f2', 'conversation_id': '3472667c-65fa-11f1-a1d5-d2c51fa485f2', 'performative': 'subscribe', 'sender': ''}"
