Tempo,Origem,Atributo,Valor
0,OmnetSim-0.node_0,last_packet_size,0.0
0,OmnetSim-0.node_1,last_packet_size,0.0
0,OmnetSim-0.node_0,data_out,0.0
0,OmnetSim-0.node_1,data_out,0.0
0,OmnetSim-0.node_0,packets_sent,0.0
0,OmnetSim-0.node_1,packets_sent,0.0
0,OmnetSim-0.node_0,last_latency,0.0
0,OmnetSim-0.node_1,last_latency,0.0
0,OmnetSim-0.node_0,packets_received,0.0
0,OmnetSim-0.node_1,packets_received,0.0
0,OmnetSim-0.node_0,status,active
0,OmnetSim-0.node_1,status,active
1,OmnetSim-0.node_0,last_packet_size,0.0
1,OmnetSim-0.node_1,last_packet_size,1024.0
1,OmnetSim-0.node_0,data_out,1.0
1,OmnetSim-0.node_1,data_out,0.0
1,OmnetSim-0.node_0,packets_sent,1.0
1,OmnetSim-0.node_1,packets_sent,0.0
1,OmnetSim-0.node_0,last_latency,0.0
1,OmnetSim-0.node_1,last_latency,0.023192
1,OmnetSim-0.node_0,packets_received,0.0
1,OmnetSim-0.node_1,packets_received,1.0
1,OmnetSim-0.node_0,status,active
1,OmnetSim-0.node_1,status,active
2,OmnetSim-0.node_0,last_packet_size,0.0
2,OmnetSim-0.node_1,last_packet_size,1024.0
2,OmnetSim-0.node_0,data_out,2.0
2,OmnetSim-0.node_1,data_out,0.0
2,OmnetSim-0.node_0,packets_sent,2.0
2,OmnetSim-0.node_1,packets_sent,0.0
2,OmnetSim-0.node_0,last_latency,0.0
2,OmnetSim-0.node_1,last_latency,0.023192
2,OmnetSim-0.node_0,packets_received,0.0
2,OmnetSim-0.node_1,packets_received,2.0
2,OmnetSim-0.node_0,status,active
2,OmnetSim-0.node_1,status,active
3,OmnetSim-0.node_0,last_packet_size,0.0
3,OmnetSim-0.node_1,last_packet_size,1024.0
3,OmnetSim-0.node_0,data_out,3.0
3,OmnetSim-0.node_1,data_out,0.0
3,OmnetSim-0.node_0,packets_sent,3.0
3,OmnetSim-0.node_1,packets_sent,0.0
3,OmnetSim-0.node_0,last_latency,0.0
3,OmnetSim-0.node_1,last_latency,0.023192
3,OmnetSim-0.node_0,packets_received,0.0
3,OmnetSim-0.node_1,packets_received,3.0
3,OmnetSim-0.node_0,status,active
3,OmnetSim-0.node_1,status,active
4,OmnetSim-0.node_0,last_packet_size,0.0
4,OmnetSim-0.node_1,last_packet_size,1024.0
4,OmnetSim-0.node_0,data_out,4.0
4,OmnetSim-0.node_1,data_out,0.0
4,OmnetSim-0.node_0,packets_sent,4.0
4,OmnetSim-0.node_1,packets_sent,0.0
4,OmnetSim-0.node_0,last_latency,0.0
4,OmnetSim-0.node_1,last_latency,0.023192
4,OmnetSim-0.node_0,packets_received,0.0
4,OmnetSim-0.node_1,packets_received,4.0
4,OmnetSim-0.node_0,status,active
4,OmnetSim-0.node_1,status,active
5,OmnetSim-0.node_0,last_packet_size,0.0
5,OmnetSim-0.node_1,last_packet_size,1024.0
5,OmnetSim-0.node_0,data_out,5.0
5,OmnetSim-0.node_1,data_out,0.0
5,OmnetSim-0.node_0,packets_sent,5.0
5,OmnetSim-0.node_1,packets_sent,0.0
5,OmnetSim-0.node_0,last_latency,0.0
5,OmnetSim-0.node_1,last_latency,0.023192
5,OmnetSim-0.node_0,packets_received,0.0
5,OmnetSim-0.node_1,packets_received,5.0
5,OmnetSim-0.node_0,status,active
5,OmnetSim-0.node_1,status,active
6,OmnetSim-0.node_0,last_packet_size,0.0
6,OmnetSim-0.node_1,last_packet_size,1024.0
6,OmnetSim-0.node_0,data_out,6.0
6,OmnetSim-0.node_1,data_out,0.0
6,OmnetSim-0.node_0,packets_sent,6.0
6,OmnetSim-0.node_1,packets_sent,0.0
6,OmnetSim-0.node_0,last_latency,0.0
6,OmnetSim-0.node_1,last_latency,0.023192
6,OmnetSim-0.node_0,packets_received,0.0
6,OmnetSim-0.node_1,packets_received,6.0
6,OmnetSim-0.node_0,status,active
6,OmnetSim-0.node_1,status,active
7,OmnetSim-0.node_0,last_packet_size,0.0
7,OmnetSim-0.node_1,last_packet_size,1024.0
7,OmnetSim-0.node_0,data_out,7.0
7,OmnetSim-0.node_1,data_out,0.0
7,OmnetSim-0.node_0,packets_sent,7.0
7,OmnetSim-0.node_1,packets_sent,0.0
7,OmnetSim-0.node_0,last_latency,0.0
7,OmnetSim-0.node_1,last_latency,0.023192
7,OmnetSim-0.node_0,packets_received,0.0
7,OmnetSim-0.node_1,packets_received,7.0
7,OmnetSim-0.node_0,status,active
7,OmnetSim-0.node_1,status,active
8,OmnetSim-0.node_0,last_packet_size,0.0
8,OmnetSim-0.node_1,last_packet_size,1024.0
8,OmnetSim-0.node_0,data_out,8.0
8,OmnetSim-0.node_1,data_out,0.0
8,OmnetSim-0.node_0,packets_sent,8.0
8,OmnetSim-0.node_1,packets_sent,0.0
8,OmnetSim-0.node_0,last_latency,0.0
8,OmnetSim-0.node_1,last_latency,0.023192
8,OmnetSim-0.node_0,packets_received,0.0
8,OmnetSim-0.node_1,packets_received,8.0
8,OmnetSim-0.node_0,status,active
8,OmnetSim-0.node_1,status,active
9,OmnetSim-0.node_0,last_packet_size,0.0
9,OmnetSim-0.node_1,last_packet_size,1024.0
9,OmnetSim-0.node_0,data_out,9.0
9,OmnetSim-0.node_1,data_out,0.0
9,OmnetSim-0.node_0,packets_sent,9.0
9,OmnetSim-0.node_1,packets_sent,0.0
9,OmnetSim-0.node_0,last_latency,0.0
9,OmnetSim-0.node_1,last_latency,0.023192
9,OmnetSim-0.node_0,packets_received,0.0
9,OmnetSim-0.node_1,packets_received,9.0
9,OmnetSim-0.node_0,status,active
9,OmnetSim-0.node_1,status,active
